Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Panchgani,Satara,September,Monsoon,No,Humid,Low,Students,No,Low,Low,Medium
Ellora Caves,Aurangabad,August,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,April,Summer,Yes,Humid,Medium,Families,No,High,Low,Medium
Khandala,Pune,April,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,High
Raigad Fort,Raigad,April,Summer,Yes,Warm,Medium,Students,No,High,Low,Low
Raigad Fort,Raigad,January,Winter,Yes,Cool,High,Families,No,Medium,Low,Low
Pratapgad Fort,Satara,October,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,Low,High
Khandala,Pune,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,January,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,High,High
Sindhudurg Fort,Sindhudurg,April,Summer,No,Hot,Low,Students,No,Medium,Low,Low
Panchgani,Satara,January,Winter,Yes,Pleasant,High,Students,No,Medium,Low,Medium
Panchgani,Satara,January,Winter,Yes,Cool,High,Couples,No,Medium,Low,High
Panchgani,Satara,September,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,High
Elephanta Caves,Mumbai,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,Low
Daulatabad Fort,Aurangabad,December,Winter,Yes,Cool,High,Couples,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,October,Post-Monsoon,No,Clear,Medium,Families,Yes,Low,Low,Low
Gateway of India,Mumbai,August,Monsoon,No,Humid,Low,Families,No,Low,Low,Medium
Elephanta Caves,Mumbai,October,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,Low,High
Pratapgad Fort,Satara,May,Summer,No,Hot,Low,Families,No,Medium,Low,High
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,May,Summer,Yes,Hot,Medium,Families,No,High,High,Low
Daulatabad Fort,Aurangabad,June,Monsoon,No,Rainy,Low,Students,No,Low,Low,Medium
Shirdi,Ahmednagar,September,Monsoon,Yes,Rainy,Medium,Families,No,Medium,High,Low
Lonavala,Pune,March,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,Medium
Mahabaleshwar,Satara,March,Summer,Yes,Warm,Medium,Families,No,High,Low,Medium
Matheran,Raigad,February,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,June,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,Low
Bhimashankar Temple,Pune,February,Winter,No,Cool,Medium,Students,No,Low,High,Medium
Elephanta Caves,Mumbai,February,Winter,Yes,Cool,High,Foreign Tourists,Yes,Medium,Low,Medium
Khandala,Pune,August,Monsoon,Yes,Rainy,High,Couples,No,Medium,Low,High
Gateway of India,Mumbai,September,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Daulatabad Fort,Aurangabad,April,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,High
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,High,Low
Matheran,Raigad,February,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Low
Pratapgad Fort,Satara,December,Winter,No,Pleasant,Medium,Families,No,Low,Low,High
Elephanta Caves,Mumbai,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Matheran,Raigad,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,High
Matheran,Raigad,May,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,High
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,High,Low
Aga Khan Palace,Pune,November,Post-Monsoon,Yes,Pleasant,High,Families,Yes,Medium,Low,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Rainy,High,Solo Travelers,No,Medium,Low,Low
Mahabaleshwar,Satara,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,High
Ajanta Caves,Aurangabad,December,Winter,Yes,Pleasant,High,Couples,Yes,Medium,Low,Medium
Ajanta Caves,Aurangabad,May,Summer,Yes,Hot,Medium,Solo Travelers,Yes,High,Low,High
Lonavala,Pune,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Khandala,Pune,May,Summer,No,Hot,Low,Couples,No,Medium,Low,Low
Lonavala,Pune,May,Summer,Yes,Humid,Medium,Couples,No,High,Low,High
Tarkarli Beach,Sindhudurg,March,Summer,No,Hot,Low,Couples,No,Medium,Low,Low
Lonavala,Pune,April,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Humid,High,Students,No,Medium,Low,Medium
Elephanta Caves,Mumbai,June,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,High
Pratapgad Fort,Satara,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,High
Khandala,Pune,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,High
Mahabaleshwar,Satara,April,Summer,Yes,Hot,Medium,Couples,No,High,Low,High
Sindhudurg Fort,Sindhudurg,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Khandala,Pune,December,Winter,Yes,Cool,High,Families,No,Medium,Low,Medium
Panchgani,Satara,May,Summer,No,Humid,Low,Couples,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,High
Shirdi,Ahmednagar,June,Monsoon,No,Humid,Low,Solo Travelers,No,Low,High,Low
Ajanta Caves,Aurangabad,July,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,September,Monsoon,No,Rainy,Low,Families,No,Low,High,Low
Raigad Fort,Raigad,December,Winter,Yes,Pleasant,High,Families,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,July,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,Low
Bhimashankar Temple,Pune,August,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,High,Low
Sindhudurg Fort,Sindhudurg,February,Winter,No,Cool,Medium,Families,No,Low,Low,Low
Khandala,Pune,August,Monsoon,No,Rainy,High,Students,No,Low,Low,Low
Aga Khan Palace,Pune,June,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Elephanta Caves,Mumbai,April,Summer,No,Humid,Low,Foreign Tourists,Yes,Medium,Low,Low
Lonavala,Pune,June,Monsoon,Yes,Humid,High,Couples,No,Medium,Low,High
Shirdi,Ahmednagar,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,High,Low
Mahabaleshwar,Satara,June,Monsoon,No,Rainy,High,Foreign Tourists,No,Low,Low,Low
Matheran,Raigad,April,Summer,No,Warm,Low,Families,No,Medium,Low,Low
Raigad Fort,Raigad,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,Low,High
Aga Khan Palace,Pune,April,Summer,No,Humid,Low,Families,Yes,Medium,Low,High
Daulatabad Fort,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Low
Gateway of India,Mumbai,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,High
Shirdi,Ahmednagar,May,Summer,Yes,Warm,Medium,Solo Travelers,No,High,High,Low
Shirdi,Ahmednagar,August,Monsoon,No,Rainy,Low,Students,No,Low,High,Medium
Pratapgad Fort,Satara,January,Winter,No,Cool,Medium,Students,No,Low,Low,High
Tarkarli Beach,Sindhudurg,February,Winter,No,Cool,Medium,Couples,No,Low,Low,Medium
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Hot,Medium,Students,No,High,High,High
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Low
Mahabaleshwar,Satara,August,Monsoon,Yes,Humid,High,Families,No,Medium,Low,High
Daulatabad Fort,Aurangabad,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,High
Ajanta Caves,Aurangabad,March,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,Medium
Matheran,Raigad,April,Summer,Yes,Warm,Medium,Students,No,High,Low,Medium
Pratapgad Fort,Satara,November,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,Low,Medium
Tarkarli Beach,Sindhudurg,September,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,High
Trimbakeshwar Temple,Nashik,January,Winter,No,Pleasant,Medium,Students,No,Low,High,Medium
Kaas Plateau,Satara,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Ellora Caves,Aurangabad,May,Summer,No,Warm,Low,Families,Yes,Medium,Low,High
Panchgani,Satara,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,May,Summer,No,Humid,Low,Families,No,Medium,Low,High
Shirdi,Ahmednagar,January,Winter,No,Cool,Medium,Families,No,Low,High,Low
Bhimashankar Temple,Pune,April,Summer,Yes,Warm,Medium,Students,No,High,High,Medium
Ajanta Caves,Aurangabad,April,Summer,No,Humid,Low,Families,Yes,Medium,Low,High
Ellora Caves,Aurangabad,April,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,Low
Matheran,Raigad,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Bhimashankar Temple,Pune,June,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,Medium
Daulatabad Fort,Aurangabad,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Pratapgad Fort,Satara,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Low
Pratapgad Fort,Satara,January,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,April,Summer,No,Humid,Low,Families,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,July,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Aga Khan Palace,Pune,July,Monsoon,No,Rainy,Low,Families,No,Low,Low,Low
Ellora Caves,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,Yes,Medium,Low,Medium
Aga Khan Palace,Pune,February,Winter,No,Cool,Medium,Students,Yes,Low,Low,Low
Sindhudurg Fort,Sindhudurg,December,Winter,No,Pleasant,Medium,Couples,No,Low,Low,High
Bhimashankar Temple,Pune,March,Summer,Yes,Humid,Medium,Families,No,High,High,Low
Elephanta Caves,Mumbai,March,Summer,No,Humid,Low,Couples,Yes,Medium,Low,High
Aga Khan Palace,Pune,June,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Pleasant,High,Students,No,Medium,Low,High
Khandala,Pune,August,Monsoon,No,Humid,High,Solo Travelers,No,Low,Low,Low
Bhimashankar Temple,Pune,September,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Humid,High,Solo Travelers,No,Medium,Low,Low
Ellora Caves,Aurangabad,December,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,High
Raigad Fort,Raigad,March,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,Low
Sindhudurg Fort,Sindhudurg,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Low
Matheran,Raigad,January,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Low
Kaas Plateau,Satara,May,Summer,Yes,Humid,Medium,Couples,No,High,Low,High
Elephanta Caves,Mumbai,January,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,Low
Lonavala,Pune,April,Summer,Yes,Hot,Medium,Students,No,High,Low,Medium
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Humid,Medium,Solo Travelers,No,High,High,High
Ajanta Caves,Aurangabad,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Aga Khan Palace,Pune,May,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,Medium
Raigad Fort,Raigad,December,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Low
Shani Shingnapur,Ahmednagar,August,Monsoon,No,Humid,Low,Students,No,Low,High,High
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Clear,High,Families,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,July,Monsoon,No,Humid,Low,Couples,No,Low,High,Low
Shani Shingnapur,Ahmednagar,September,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,High,Low
Panchgani,Satara,January,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Lonavala,Pune,August,Monsoon,No,Humid,High,Students,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,May,Summer,No,Humid,Low,Foreign Tourists,No,Medium,High,Low
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Couples,Yes,Low,Low,Low
Bhimashankar Temple,Pune,February,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,High,Low
Ellora Caves,Aurangabad,January,Winter,Yes,Pleasant,High,Families,Yes,Medium,Low,Medium
Shirdi,Ahmednagar,September,Monsoon,No,Humid,Low,Students,No,Low,High,Medium
Shirdi,Ahmednagar,January,Winter,Yes,Pleasant,High,Students,No,Medium,High,Medium
Kaas Plateau,Satara,September,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Matheran,Raigad,November,Post-Monsoon,Yes,Clear,High,Students,No,Medium,Low,High
Shirdi,Ahmednagar,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,High,Low
Ajanta Caves,Aurangabad,May,Summer,Yes,Hot,Medium,Foreign Tourists,Yes,High,Low,High
Trimbakeshwar Temple,Nashik,April,Summer,No,Humid,Low,Solo Travelers,No,Medium,High,High
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Mahabaleshwar,Satara,June,Monsoon,No,Rainy,High,Families,No,Low,Low,High
Gateway of India,Mumbai,June,Monsoon,No,Humid,Low,Students,No,Low,Low,Medium
Mahabaleshwar,Satara,March,Summer,No,Humid,Low,Couples,No,Medium,Low,Low
Aga Khan Palace,Pune,July,Monsoon,No,Rainy,Low,Students,No,Low,Low,High
Khandala,Pune,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Low
Shirdi,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,High,Medium
Aga Khan Palace,Pune,September,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,December,Winter,Yes,Pleasant,High,Students,No,Medium,High,High
Panchgani,Satara,January,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Low
Matheran,Raigad,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,March,Summer,No,Warm,Low,Families,No,Medium,Low,Low
Bhimashankar Temple,Pune,January,Winter,No,Cool,Medium,Families,No,Low,High,High
Shirdi,Ahmednagar,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,High,High
Shirdi,Ahmednagar,May,Summer,No,Humid,Low,Foreign Tourists,No,Medium,High,Low
Gateway of India,Mumbai,April,Summer,Yes,Warm,Medium,Families,Yes,High,Low,Low
Khandala,Pune,May,Summer,No,Humid,Low,Families,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,July,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Lonavala,Pune,July,Monsoon,Yes,Rainy,High,Couples,No,Medium,Low,Medium
Shirdi,Ahmednagar,February,Winter,No,Pleasant,Medium,Students,No,Low,High,Low
Panchgani,Satara,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,High
Mahabaleshwar,Satara,June,Monsoon,Yes,Rainy,High,Students,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Medium
Kaas Plateau,Satara,March,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,Medium
Tarkarli Beach,Sindhudurg,June,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,March,Summer,No,Humid,Low,Couples,No,Medium,Low,High
Gateway of India,Mumbai,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Shirdi,Ahmednagar,June,Monsoon,Yes,Humid,Medium,Families,No,Medium,High,Medium
Panchgani,Satara,September,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,High
Kaas Plateau,Satara,January,Winter,Yes,Pleasant,High,Students,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,High,Low
Shirdi,Ahmednagar,November,Post-Monsoon,Yes,Clear,High,Students,No,Medium,High,High
Elephanta Caves,Mumbai,September,Monsoon,No,Rainy,Low,Students,No,Low,Low,High
Matheran,Raigad,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Low
Shirdi,Ahmednagar,December,Winter,Yes,Cool,High,Solo Travelers,No,Medium,High,Low
Shirdi,Ahmednagar,September,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,High,High
Aga Khan Palace,Pune,April,Summer,No,Humid,Low,Foreign Tourists,Yes,Medium,Low,Medium
Aga Khan Palace,Pune,June,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Raigad Fort,Raigad,February,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Low
Aga Khan Palace,Pune,February,Winter,Yes,Cool,High,Couples,Yes,Medium,Low,Medium
Ajanta Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,High,Medium
Khandala,Pune,August,Monsoon,Yes,Rainy,High,Solo Travelers,No,Medium,Low,Medium
Elephanta Caves,Mumbai,February,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,Medium
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Medium
Mahabaleshwar,Satara,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,High
Mahabaleshwar,Satara,July,Monsoon,Yes,Rainy,High,Foreign Tourists,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Mahabaleshwar,Satara,May,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,Low
Sindhudurg Fort,Sindhudurg,January,Winter,No,Pleasant,Medium,Families,No,Low,Low,Low
Lonavala,Pune,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Medium
Pratapgad Fort,Satara,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,Low,High
Ajanta Caves,Aurangabad,May,Summer,Yes,Warm,Medium,Solo Travelers,Yes,High,Low,Low
Aga Khan Palace,Pune,September,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,Low,Medium
Aga Khan Palace,Pune,January,Winter,Yes,Cool,High,Solo Travelers,Yes,Medium,Low,Medium
Ellora Caves,Aurangabad,March,Summer,No,Humid,Low,Families,Yes,Medium,Low,Medium
Daulatabad Fort,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Medium
Gateway of India,Mumbai,August,Monsoon,No,Rainy,Low,Families,No,Low,Low,Medium
Tarkarli Beach,Sindhudurg,September,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,High
Mahabaleshwar,Satara,November,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,High
Shirdi,Ahmednagar,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,High,Medium
Kaas Plateau,Satara,September,Monsoon,No,Humid,Low,Students,No,Low,Low,Low
Kaas Plateau,Satara,August,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Medium
Khandala,Pune,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,Medium
Shani Shingnapur,Ahmednagar,December,Winter,No,Cool,Medium,Families,No,Low,High,Medium
Bhimashankar Temple,Pune,February,Winter,Yes,Pleasant,High,Families,No,Medium,High,Medium
Daulatabad Fort,Aurangabad,March,Summer,No,Hot,Low,Foreign Tourists,No,Medium,Low,High
Daulatabad Fort,Aurangabad,February,Winter,No,Cool,Medium,Couples,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,High
Mahabaleshwar,Satara,February,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Medium
Panchgani,Satara,July,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,April,Summer,Yes,Warm,Medium,Solo Travelers,No,High,Low,Medium
Shani Shingnapur,Ahmednagar,January,Winter,No,Pleasant,Medium,Families,No,Low,High,High
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,High
Ellora Caves,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,Medium
Elephanta Caves,Mumbai,September,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Low
Raigad Fort,Raigad,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Low
Aga Khan Palace,Pune,November,Post-Monsoon,No,Pleasant,Medium,Couples,Yes,Low,Low,High
Raigad Fort,Raigad,June,Monsoon,No,Humid,Low,Couples,No,Low,Low,Medium
Raigad Fort,Raigad,May,Summer,No,Hot,Low,Families,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,June,Monsoon,Yes,Humid,Medium,Families,No,Medium,High,Medium
Shani Shingnapur,Ahmednagar,April,Summer,No,Hot,Low,Foreign Tourists,No,Medium,High,High
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Families,No,Medium,High,Medium
Elephanta Caves,Mumbai,March,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,Low
Elephanta Caves,Mumbai,November,Post-Monsoon,Yes,Pleasant,High,Couples,Yes,Medium,Low,Low
Panchgani,Satara,March,Summer,Yes,Humid,Medium,Families,No,High,Low,Low
Tarkarli Beach,Sindhudurg,February,Winter,Yes,Cool,High,Students,No,Medium,Low,Low
Mahabaleshwar,Satara,March,Summer,No,Warm,Low,Foreign Tourists,No,Medium,Low,Low
Bhimashankar Temple,Pune,November,Post-Monsoon,Yes,Clear,High,Students,No,Medium,High,Medium
Sindhudurg Fort,Sindhudurg,January,Winter,Yes,Cool,High,Students,No,Medium,Low,Low
Panchgani,Satara,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Low
Bhimashankar Temple,Pune,March,Summer,Yes,Hot,Medium,Couples,No,High,High,High
Shirdi,Ahmednagar,May,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,High,Medium
Lonavala,Pune,June,Monsoon,Yes,Humid,High,Families,No,Medium,Low,High
Khandala,Pune,May,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,High
Lonavala,Pune,April,Summer,No,Hot,Low,Families,No,Medium,Low,Low
Ajanta Caves,Aurangabad,January,Winter,No,Pleasant,Medium,Foreign Tourists,Yes,Low,Low,Medium
Panchgani,Satara,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Matheran,Raigad,January,Winter,No,Cool,Medium,Couples,No,Low,Low,Medium
Ellora Caves,Aurangabad,January,Winter,No,Pleasant,Medium,Solo Travelers,Yes,Low,Low,Low
Raigad Fort,Raigad,April,Summer,Yes,Humid,Medium,Families,No,High,Low,Low
Trimbakeshwar Temple,Nashik,May,Summer,Yes,Humid,Medium,Couples,No,High,High,Medium
Ajanta Caves,Aurangabad,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Shirdi,Ahmednagar,April,Summer,No,Warm,Low,Solo Travelers,No,Medium,High,High
Shirdi,Ahmednagar,April,Summer,Yes,Hot,Medium,Couples,No,High,High,Low
Tarkarli Beach,Sindhudurg,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,High
Mahabaleshwar,Satara,July,Monsoon,Yes,Humid,High,Families,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,July,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Low
Mahabaleshwar,Satara,May,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,Low
Shani Shingnapur,Ahmednagar,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,High,Medium
Elephanta Caves,Mumbai,November,Post-Monsoon,Yes,Pleasant,High,Families,Yes,Medium,Low,High
Bhimashankar Temple,Pune,October,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,High,High
Matheran,Raigad,April,Summer,Yes,Humid,Medium,Couples,No,High,Low,High
Trimbakeshwar Temple,Nashik,April,Summer,No,Humid,Low,Families,No,Medium,High,Low
Mahabaleshwar,Satara,February,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,High
Trimbakeshwar Temple,Nashik,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,Low
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,Yes,Clear,High,Families,No,Medium,Low,Low
Aga Khan Palace,Pune,April,Summer,Yes,Hot,Medium,Couples,Yes,High,Low,Medium
Trimbakeshwar Temple,Nashik,June,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,High,High
Tarkarli Beach,Sindhudurg,July,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Low
Daulatabad Fort,Aurangabad,July,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Low
Matheran,Raigad,December,Winter,Yes,Cool,High,Families,No,Medium,Low,Medium
Pratapgad Fort,Satara,November,Post-Monsoon,Yes,Clear,High,Families,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,September,Monsoon,No,Humid,Low,Students,No,Low,Low,High
Elephanta Caves,Mumbai,December,Winter,No,Pleasant,Medium,Solo Travelers,Yes,Low,Low,High
Kaas Plateau,Satara,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,Medium
Mahabaleshwar,Satara,July,Monsoon,No,Humid,High,Couples,No,Low,Low,Low
Aga Khan Palace,Pune,November,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,Yes,Low,Low,Medium
Panchgani,Satara,December,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,Medium
Ajanta Caves,Aurangabad,August,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,January,Winter,No,Cool,Medium,Foreign Tourists,No,Low,High,High
Mahabaleshwar,Satara,June,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,Low,Low
